author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Damien Lefloch,Real-time processing of range data focusing on environment reconstruction.,"University of Siegen, Germany",2019,1-137,"http://dokumentix.ub.uni-siegen.de/opus/volltexte/2019/1397/, https://nbn-resolving.org/urn:nbn:de:hbz:467-13972, https://nbn-resolving.org/urn:nbn:de:101:1-2019061606340707045560, https://d-nb.info/1177366398, https://d-nb.info/1178948110, https://d-nb.info/1188552732",,,,,,,,,,,,,,978-3-8440-6585-5,,,
Wolfgang Hochdörffer,Ausgewählte diskrete Suchprobleme unter Berücksichtigung algorithmischer Lösbarkeit.,"Karlsruhe Institute of Technology, Germany",1985,1-142,https://d-nb.info/870392530,,,,,,,,,,,,,,,,,
Hartmut König,Kommunikationsprotokolle - Prinzip und Entwicklung.,"Dresden University of Technology, Germany",1987,,https://d-nb.info/890765332,,,,,,,,,,,,,,,,,
Thomas Gerhards,Computerkriminalität und Sachbeschädigung.,"University of Mannheim, Germany",1993,1-111,https://d-nb.info/931386705,,,,,,,,,,,,,,,,,
Sebastian Vogl,Data-only Malware.,Technical University Munich,2015,,"https://nbn-resolving.org/urn:nbn:de:bvb:91-diss-20150717-1239241-1-7, https://d-nb.info/1074999576",,,,,,,,,,,,,,,,,
Georg Krause,Objektorientierte Programmierung und ihr Einsatz zur Entwicklung von Informationssystemen.,"Vienna University of Economics and Business, Austria",1992,,https://d-nb.info/930464230,,,,,,,,,,,,,,978-3-85428-232-7,,,
Frank S. Morelli,Unterstützungssysteme für die Organisationsgestaltung.,"University of Stuttgart, Germany",1993,,https://d-nb.info/941292487,,,,,,,,,,,,,,,,,
Frank Dellmann,Verarbeitung von partiellen Wahrscheinlichkeitsinformationen in entscheidungsunterstützenden Systemen.,University of Duisburg-Essen,1997,1-306,https://d-nb.info/949787825,Eul,,,,,,,,,,,,,3-89012-550-6,,,
Feryal Fulya Horozal,A Framework for Defining Declarative Languages.,Jacobs University,2014,,"https://nbn-resolving.org/urn:nbn:de:gbv:579-opus-1004952, https://d-nb.info/1087318971",,,,,,,,,,,,,,,,,
Daniel Kernberger,Hybrid Branching-Time Logics.,"University of Kassel, Germany",2019,,"https://kobra.uni-kassel.de/handle/123456789/11380, https://nbn-resolving.org/urn:nbn:de:101:1-2019121211190233705487, https://d-nb.info/1201509378",,,,,,,,,,,,,,,,,
Sebastian Pütz,Navigation control & path planning for autonomous mobile robots / Sebastian Clemens Benedikt Pütz.,"University of Osnabrück, Germany",2021,1-284,https://d-nb.info/1253670900,,,,,,,,,,,,,,,,,
Johanna-Maria Alexander,Psychophysiologische Beanspruchung und Leistung in Abhängigkeit von Systemresponsezeiten am Bildschirmarbeitsplatz.,"University of Wuppertal, Germany",1987,1-16,https://d-nb.info/880463430,,,,,,,,,,,,,,,,,
Jakub Bieniarz,Sparse methods for hyperspectral unmixing and image fusion.,"University of Osnabrück, Germany",2015,1-174,https://d-nb.info/1092198733,,,,,,,,,,,,,,,,,
